Raw material,Stage,Source,Value
"Lithium, spodumene - carbonate",Concentration,Electricity consumption,0.066531582
"Lithium, spodumene - carbonate",Concentration,Process heating,0.094606656
"Lithium, spodumene - carbonate",Concentration,Fuels consumption,0.018896605
"Lithium, spodumene - carbonate",Concentration,Reagents consumption,0
"Lithium, spodumene - carbonate",Concentration,Process emissions,0
"Lithium, spodumene - carbonate",Concentration,Other,0.920339918
"Lithium, spodumene - carbonate",Refining,Electricity consumption,1.712895015
"Lithium, spodumene - carbonate",Refining,Process heating,18.81032447
"Lithium, spodumene - carbonate",Refining,Fuels consumption,0
"Lithium, spodumene - carbonate",Refining,Reagents consumption,2.151461883
"Lithium, spodumene - carbonate",Refining,Process emissions,0
"Lithium, spodumene - carbonate",Refining,Other,0.330085964
