Metal,Stage,Reagent,Value
"Lithium, brine - carbonate",Mining,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, brine - carbonate",Mining,"carbon dioxide, liquid",0.0
"Lithium, brine - carbonate",Mining,bentonite,0.0
"Lithium, brine - carbonate",Mining,sulfur,0.0
"Lithium, brine - carbonate",Mining,magnesium oxide,0.0
"Lithium, brine - carbonate",Mining,"limestone, crushed, for mill",0.0
"Lithium, brine - carbonate",Mining,"lime, hydraulic",0.0
"Lithium, brine - carbonate",Mining,"soda ash, dense",0.0
"Lithium, brine - carbonate",Mining,ammonium bicarbonate,0.0
"Lithium, brine - carbonate",Mining,lime,0.0
"Lithium, brine - carbonate",Mining,"limestone, crushed, washed",0.0
"Lithium, brine - carbonate",Mining,disodium disulphite,0.0
"Lithium, brine - carbonate",Mining,"nitric acid, without water, in 50% solution state",0.0
"Lithium, brine - carbonate",Mining,hydrogen fluoride,0.0
"Lithium, brine - carbonate",Mining,"nitrogen, liquid",0.0
"Lithium, brine - carbonate",Mining,"phosphoric acid, fertiliser grade, without water, in 70% solution state",0.0
"Lithium, brine - carbonate",Mining,iron sulfate,0.0
"Lithium, brine - carbonate",Mining,"aluminium sulfate, powder",0.0
"Lithium, brine - carbonate",Mining,"chlorine, liquid",0.0
"Lithium, brine - carbonate",Mining,"chlorine, gaseous",0.0
"Lithium, brine - carbonate",Mining,"iron (III) chloride, without water, in 40% solution state",0.0
"Lithium, brine - carbonate",Mining,"lime, hydrated, packed",0.0
"Lithium, brine - carbonate",Mining,sodium hydrogen sulfite,0.0
"Lithium, brine - carbonate",Mining,sodium pyrophosphate,0.0
"Lithium, brine - carbonate",Mining,"ammonia, anhydrous, liquid",0.0
"Lithium, brine - carbonate",Mining,hydrogen sulfide,0.0
"Lithium, brine - carbonate",Mining,"oxygen, liquid",0.0
"Lithium, brine - carbonate",Mining,formaldehyde,0.0
"Lithium, brine - carbonate",Mining,"hydrogen, gaseous, medium pressure, merchant",0.0
"Lithium, brine - carbonate",Mining,naphthalene sulfonic acid,0.0
"Lithium, brine - carbonate",Mining,"sodium chloride, powder",0.0
"Lithium, brine - carbonate",Mining,"sodium sulfate, anhydrite",0.0
"Lithium, brine - carbonate",Mining,"sulfur dioxide, liquid",0.0
"Lithium, brine - carbonate",Mining,coal tar,0.0
"Lithium, brine - carbonate",Concentration,"neutralising agent, sodium hydroxide-equivalent",0.08208555407523775
"Lithium, brine - carbonate",Concentration,"hydrochloric acid, without water, in 30% solution state",0.10085691616524343
"Lithium, brine - carbonate",Concentration,"soda ash, light",0.13185224784310146
"Lithium, brine - carbonate",Concentration,"quicklime, milled, packed",0.050522349404752975
"Lithium, brine - carbonate",Concentration,sulfuric acid,0.0
"Lithium, brine - carbonate",Concentration,"sodium hydroxide, without water, in 50% solution state",0.0
"Lithium, brine - carbonate",Concentration,"quicklime, milled, loose",0.0
