Raw material,Impact category,BAU,ONSITE_ELEC,ENERGY_EFF,PROCESS_HEAT,CHEMICALS_DECARB,GLOBAL_ELEC
"Lithium, spodumene","Human toxicity, non-carcinogenic",1.856638370461338e-07,1.7653467593941785e-07,1.727915940710083e-07,2.878081097718394e-07,2.8871915919268313e-07,2.8510877396705464e-07
"Lithium, spodumene","Eutrophication, freshwater",0.004915868394822436,0.004417354765684374,0.004261015216843064,0.0034267625537604436,0.0028750449663189175,0.0022851781336024283
"Lithium, spodumene","Eutrophication, terrestrial",0.2414509851732767,0.20454170891261525,0.1992833193481941,0.16320551421163004,0.14952541274186276,0.13631026041271488
"Lithium, spodumene","Eutrophication, marine",0.022709125089262996,0.019170110591855066,0.018670927546663666,0.013676007473566072,0.012210882088310969,0.010842893556600114
"Lithium, spodumene","Energy resources, non-renewable",153.54738584382596,123.09249574728116,119.05839782306376,81.38432611469645,60.818521319918645,42.9723242240161
"Lithium, spodumene","Ecotoxicity, freshwater",66.35232765855201,59.82117171777182,58.58892648830076,98.93757458479205,97.90372184823336,95.87955257125842
"Lithium, spodumene",Climate change,17.237322942113362,14.052096649889432,13.53884943082309,6.976248493098663,5.304045134424647,3.921047319418647
"Lithium, spodumene",Photochemical oxidant formation,0.06939057251620796,0.05949953702463639,0.05795817457016045,0.04432158047524527,0.03985254957131195,0.035860020221263195
"Lithium, spodumene","Human toxicity, carcinogenic",3.2503455419324805e-08,3.459257136898211e-08,3.393678523305299e-08,1.2337716923500343e-07,1.2591305177975838e-07,1.265994512875112e-07
"Lithium, spodumene",Acidification,0.14688510691374077,0.13078503817791554,0.12655046275394782,0.07874865750956629,0.07196497388482465,0.06555258104727321
"Lithium, spodumene",Water use,2.487130756802896,2.162482497806443,2.1429449724132437,2.900514721978688,2.6503792881815795,2.1388352804370903
Cobalt,Photochemical oxidant formation,0.08491157437993158,0.08184973223585447,0.07962971680147167,0.0796497750951971,0.06599928586992662,0.06256518784816581
Cobalt,Climate change,14.99089722439171,13.938216971094391,13.698376982382074,13.287719873091804,8.23089289346282,7.021350100637756
Cobalt,"Ecotoxicity, freshwater",174.47279352249674,174.07009584864414,173.4752434493415,179.92515164163459,175.13157043747788,173.33934650316485
Cobalt,"Energy resources, non-renewable",177.02525027643617,167.44421155135015,164.15443630118918,156.6746475175328,95.1726304716114,78.96649359779428
